cycle,average_attention,average_performance,breaks,high_attetiton,,,,,,,,Correlation:
0,0.5783180588,0.5,TRUE,11,,,,,,,,-0.302325925
1,0.6283180588,0.504,TRUE,14,,,,,,,,
2,0.6748736976,0.5084,TRUE,14,,,,,,,,
3,0.7164525654,0.514,TRUE,15,,,,,,,,
4,0.753108336,0.5196,TRUE,16,,,,,,,,
5,0.78501493,0.5256,TRUE,16,,,,,,,,
6,0.8138218875,0.532,TRUE,18,,,,,,,,
7,0.8386896634,0.5384,TRUE,18,,,,,,,,
8,0.8606896634,0.5456,TRUE,18,,,,,,,,
9,0.8810781727,0.5528,TRUE,18,,,,,,,,
10,0.9007655937,0.56,TRUE,21,,,,,,,,
11,0.9187655937,0.5672,TRUE,23,,,,,,,,
12,0.9356614605,0.5756,TRUE,24,,,,,,,,
13,0.9496614605,0.5848,TRUE,25,,,,,,,,
14,0.9636614605,0.5944,TRUE,25,,,,,,,,
15,0.9776614605,0.6044,FALSE,25,,,,,,,,
16,0.9276614605,0.614,FALSE,25,,,,,,,,
17,0.8776614605,0.6232,FALSE,25,,,,,,,,
18,0.8276614605,0.6316,FALSE,24,,,,,,,,
19,0.7776614605,0.6316,FALSE,23,,,,,,,,
20,0.7276614605,0.6316,FALSE,21,,,,,,,,
21,0.6776614605,0.6316,FALSE,0,,,,,,,,
22,0.6276614605,0.6316,FALSE,0,,,,,,,,
23,0.5776614605,0.6316,FALSE,0,,,,,,,,
24,0.5276614605,0.6316,FALSE,0,,,,,,,,
25,0.4776614605,0.6316,FALSE,0,,,,,,,,
26,0.4276614605,0.6316,FALSE,0,,,,,,,,
27,0.3776614605,0.6316,FALSE,0,,,,,,,,
28,0.3276614605,0.6316,FALSE,0,,,,,,,,
29,0.2776614605,0.6316,FALSE,0,,,,,,,,
30,0.2276614605,0.6316,TRUE,0,,,,,,,,
31,0.2776614605,0.6316,TRUE,0,,,,,,,,
32,0.3276614605,0.6316,TRUE,0,,,,,,,,
33,0.3776614605,0.6316,TRUE,0,,,,,,,,
34,0.4276614605,0.6316,TRUE,0,,,,,,,,
35,0.4776614605,0.6316,TRUE,0,,,,,,,,
36,0.5276614605,0.6316,TRUE,0,,,,,,,,
37,0.5776614605,0.6316,TRUE,0,,,,,,,,
38,0.6276614605,0.6316,TRUE,0,,,,,,,,
39,0.6776614605,0.6316,TRUE,0,,,,,,,,
40,0.7276614605,0.6316,TRUE,21,,,,,,,,
41,0.7776614605,0.6316,TRUE,23,,,,,,,,
42,0.8276614605,0.64,TRUE,24,,,,,,,,
43,0.8776614605,0.6492,TRUE,25,,,,,,,,
44,0.9276614605,0.6588,TRUE,25,,,,,,,,
45,0.9776614605,0.6688,FALSE,25,,,,,,,,
46,0.9276614605,0.6784,FALSE,25,,,,,,,,
47,0.8776614605,0.6876,FALSE,25,,,,,,,,
48,0.8276614605,0.696,FALSE,24,,,,,,,,
49,0.7776614605,0.696,FALSE,23,,,,,,,,
50,0.7276614605,0.696,FALSE,21,,,,,,,,
51,0.6776614605,0.696,FALSE,0,,,,,,,,
52,0.6276614605,0.696,FALSE,0,,,,,,,,
53,0.5776614605,0.696,FALSE,0,,,,,,,,
54,0.5276614605,0.696,FALSE,0,,,,,,,,
55,0.4776614605,0.696,FALSE,0,,,,,,,,
56,0.4276614605,0.696,FALSE,0,,,,,,,,
57,0.3776614605,0.696,FALSE,0,,,,,,,,
58,0.3276614605,0.696,FALSE,0,,,,,,,,
59,0.2776614605,0.696,FALSE,0,,,,,,,,
60,0.2276614605,0.696,TRUE,0,,,,,,,,
61,0.2776614605,0.696,TRUE,0,,,,,,,,
62,0.3276614605,0.696,TRUE,0,,,,,,,,
63,0.3776614605,0.696,TRUE,0,,,,,,,,
64,0.4276614605,0.696,TRUE,0,,,,,,,,
65,0.4776614605,0.696,TRUE,0,,,,,,,,
66,0.5276614605,0.696,TRUE,0,,,,,,,,
67,0.5776614605,0.696,TRUE,0,,,,,,,,
68,0.6276614605,0.696,TRUE,0,,,,,,,,
69,0.6776614605,0.696,TRUE,0,,,,,,,,
70,0.7276614605,0.696,TRUE,21,,,,,,,,
71,0.7776614605,0.696,TRUE,23,,,,,,,,
72,0.8276614605,0.7044,TRUE,24,,,,,,,,
73,0.8776614605,0.7136,TRUE,25,,,,,,,,
74,0.9276614605,0.7232,TRUE,25,,,,,,,,
75,0.9776614605,0.7332,FALSE,25,,,,,,,,
76,0.9276614605,0.7428,FALSE,25,,,,,,,,
77,0.8776614605,0.752,FALSE,25,,,,,,,,
78,0.8276614605,0.7604,FALSE,24,,,,,,,,
79,0.7776614605,0.7604,FALSE,23,,,,,,,,
80,0.7276614605,0.7604,FALSE,21,,,,,,,,
81,0.6776614605,0.7604,FALSE,0,,,,,,,,
82,0.6276614605,0.7604,FALSE,0,,,,,,,,
83,0.5776614605,0.7604,FALSE,0,,,,,,,,
84,0.5276614605,0.7604,FALSE,0,,,,,,,,
85,0.4776614605,0.7604,FALSE,0,,,,,,,,
86,0.4276614605,0.7604,FALSE,0,,,,,,,,
87,0.3776614605,0.7604,FALSE,0,,,,,,,,
88,0.3276614605,0.7604,FALSE,0,,,,,,,,
89,0.2776614605,0.7604,FALSE,0,,,,,,,,
